TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
2554912;2554991;2555181;2555270;2639368;0;0;14;0;125;4_8;0
2705984;2706064;2706328;2769054;2852912;58;0;14;8;125;4_8;1
2919439;2919520;2922625;2986050;3070287;58;0;14;8;125;4_8;2
3136917;3136997;3140114;3219056;3302842;75;0;14;8;125;4_8;3
3369387;3369467;3372573;3452054;3533504;75;0;14;8;125;4_8;4
3597736;3597820;3600946;3680056;3763906;75;0;14;8;125;4_8;5
3830536;3830624;3833742;3913066;3996988;75;0;14;8;125;4_8;6
4067166;4067244;4070462;4164058;4247915;91;0;14;8;125;4_8;7
4314461;4314541;4317652;4413054;4496962;91;0;14;8;125;4_8;8
4563581;4563662;4566781;4662056;4745877;91;0;14;8;125;4_8;9
4812460;4812541;4815652;4911054;4995046;91;0;14;8;125;4_8;10
5061688;5061769;5064904;5176056;5259948;108;0;14;8;125;4_8;11
5326578;5326666;5329781;5441054;5525003;108;0;14;8;125;4_8;12
5591647;5591727;5594852;5706056;5789942;108;0;14;8;125;4_8;13
5856544;5856632;5859739;5971060;6054990;108;0;14;8;125;4_8;14
6121732;6121820;6124946;6252056;6335996;124;0;14;8;125;4_8;15
6406301;6406379;6409568;6535056;6619081;124;0;14;8;125;4_8;16
6685800;6685891;6689043;6816056;6899992;124;0;14;8;125;4_8;17
6966603;6966684;6969821;7097054;7181027;124;0;14;8;125;4_8;18
7247698;7247779;7250922;7396056;7479966;140;0;14;8;125;4_8;19
7546581;7546666;7549800;7695054;7779027;140;0;14;8;125;4_8;20
7845651;7845731;7848873;7994056;8078046;140;0;14;8;125;4_8;21
8144649;8144730;8147873;8293054;8377023;140;0;14;8;125;4_8;22
8443749;8443832;8446972;8608056;8692000;157;0;14;8;125;4_8;23
8762360;8762438;8765628;8925056;9009025;157;0;14;8;125;4_8;24
9075775;9075858;9079006;9240056;9323975;157;0;14;8;125;4_8;25
9390604;9390688;9393819;9555054;9639050;157;0;14;8;125;4_8;26
9705768;9705851;9708994;9886056;9969964;173;0;14;8;125;4_8;27
10036563;10036643;10039778;10217054;10301046;173;0;14;8;125;4_8;28
10367748;10367832;10370976;10548061;10631994;173;0;14;8;125;4_8;29
10698643;10698723;10701854;10879054;10963035;173;0;14;8;125;4_8;30
11029731;11029814;11032959;11226056;11309990;189;0;14;8;125;4_8;31
11380343;11380421;11383620;11575056;11659012;189;0;14;8;125;4_8;32
11725751;11725834;11728981;11922056;12005975;189;0;14;8;125;4_8;33
12072737;12072820;12075967;12269054;12353042;189;0;14;8;125;4_8;34
12419777;12419863;12423015;12632056;12715996;206;0;14;8;125;4_8;35
12782624;12782704;12785845;12995054;13079073;206;0;14;8;125;4_8;36
13145738;13145822;13148972;13358056;13441985;206;0;14;8;125;4_8;37
13508680;13508765;13511916;13721054;13805067;206;0;14;8;125;4_8;38
13871733;13871816;13874972;14102056;14186013;222;0;14;8;125;4_8;39
14256354;14256432;14259632;14485056;14569037;222;0;14;8;125;4_8;40
14635783;14635878;14639031;14866056;14949990;222;0;14;8;125;4_8;41
15016628;15016708;15019849;15247054;15331033;222;0;14;8;125;4_8;42
15397731;15397814;15400972;15644056;15727978;239;0;14;8;125;4_8;43
15794664;15794745;15797892;16041054;16125090;239;0;14;8;125;4_8;44
16191800;16191891;16195039;16438056;16521998;239;0;14;8;125;4_8;45
16588679;16588764;16591916;16835054;16919035;239;0;14;8;125;4_8;46
16989474;16989552;16992762;17250059;17333994;255;0;14;8;125;4_8;47
17400616;17400697;17403847;17663054;17747048;255;0;14;8;125;4_8;48
17813740;17813828;17816988;18076057;18160023;255;0;14;8;125;4_8;49
18226640;18226720;18229875;18489055;18573071;255;0;14;8;125;4_8;50
18639757;18639841;18642998;18918056;19001979;271;0;14;8;125;4_8;51
19068663;19068755;19071937;19347054;19431048;271;0;14;8;125;4_8;52
19497753;19497836;19500989;19776056;19859978;271;0;14;8;125;4_8;53
19926596;19926676;19929831;20205054;20289048;271;0;14;8;125;4_8;54
20359360;20359438;20362649;20652058;20735975;288;0;14;8;125;4_8;55
20802612;20802692;20805847;21097054;21181069;288;0;14;8;125;4_8;56
21247774;21247858;21251019;21542061;21626021;288;0;14;8;125;4_8;57
21692652;21692733;21695892;21987054;22071057;288;0;14;8;125;4_8;58
22137750;22137834;22140994;22450056;22533985;304;0;14;8;125;4_8;59
22600608;22600692;22603849;22913054;22997089;304;0;14;8;125;4_8;60
23063800;23063891;23067043;23376056;23459983;304;0;14;8;125;4_8;61
23526628;23526708;23529862;23839054;23923060;304;0;14;8;125;4_8;62
23993377;23993460;23996680;24320058;24403994;320;0;14;8;125;4_8;63
24470635;24470715;24473882;24799054;24883033;320;0;14;8;125;4_8;64
24949714;24949794;24952966;25278056;25362001;320;0;14;8;125;4_8;65
25428596;25428676;25431837;25757054;25841044;320;0;14;8;125;4_8;66
25907725;25907809;25910981;26252056;26335999;337;0;14;8;125;4_8;67
26402666;26402746;26405916;26747054;26831071;337;0;14;8;125;4_8;68
26897779;26897874;26901031;27242056;27325994;337;0;14;8;125;4_8;69
