TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
2529926;2530004;2530194;2530277;2614417;0;0;14;0;125;4_7;0
2681027;2681107;2681371;2714056;2797925;28;0;14;7;125;4_7;1
2864479;2864560;2867667;2907053;2990937;36;0;14;7;125;4_7;2
3057559;3057639;3060753;3100062;3183892;36;0;14;7;125;4_7;3
3250451;3250531;3253636;3293054;3374509;36;0;14;7;125;4_7;4
3438752;3438835;3441962;3481050;3564908;36;0;14;7;125;4_7;5
3631559;3631647;3634761;3682053;3765950;43;0;14;7;125;4_7;6
3836146;3836224;3839405;3886057;3969922;43;0;14;7;125;4_7;7
4036521;4036602;4039720;4087054;4170960;43;0;14;7;125;4_7;8
4237561;4237642;4240756;4294055;4377880;50;0;14;7;125;4_7;9
4444468;4444548;4447658;4501054;4585042;50;0;14;7;125;4_7;10
4651705;4651785;4654925;4708056;4791958;50;0;14;7;125;4_7;11
4858566;4858653;4861767;4915048;4999001;50;0;14;7;125;4_7;12
5065654;5065734;5068857;5130055;5213952;57;0;14;7;125;4_7;13
5280549;5280637;5283750;5345053;5428989;57;0;14;7;125;4_7;14
5495724;5495814;5498944;5560056;5643997;57;0;14;7;125;4_7;15
5714237;5714315;5717503;5783055;5867031;64;0;14;7;125;4_7;16
5933797;5933887;5937025;6006056;6090056;64;0;14;7;125;4_7;17
6156699;6156779;6159916;6229054;6313031;64;0;14;7;125;4_7;18
6379705;6379786;6382938;6452050;6535948;64;0;14;7;125;4_7;19
6602608;6602689;6605822;6681053;6765044;71;0;14;7;125;4_7;20
6831745;6831827;6834968;6910055;6993968;71;0;14;7;125;4_7;21
7060583;7060668;7063797;7139054;7223065;71;0;14;7;125;4_7;22
7289766;7289851;7293000;7376055;7459956;79;0;14;7;125;4_7;23
7530311;7530389;7533581;7617056;7701042;79;0;14;7;125;4_7;24
7767719;7767802;7770948;7854056;7937948;79;0;14;7;125;4_7;25
8004588;8004669;8007797;8091048;8175032;79;0;14;7;125;4_7;26
8241763;8241852;8244996;8334055;8417960;86;0;14;7;125;4_7;27
8484599;8484685;8487818;8577053;8661051;86;0;14;7;125;4_7;28
8727757;8727841;8730983;8820056;8903994;86;0;14;7;125;4_7;29
8970628;8970708;8973847;9071053;9155065;93;0;14;7;125;4_7;30
9221744;9221827;9224972;9322056;9405960;93;0;14;7;125;4_7;31
9472600;9472680;9475824;9573054;9657025;93;0;14;7;125;4_7;32
9727328;9727406;9730607;9826052;9909954;93;0;14;7;125;4_7;33
9976570;9976650;9979795;10083053;10167059;100;0;14;7;125;4_7;34
10233748;10233831;10236976;10340059;10424009;100;0;14;7;125;4_7;35
10490652;10490733;10493882;10597054;10681055;100;0;14;7;125;4_7;36
10747754;10747835;10750981;10862055;10945983;107;0;14;7;125;4_7;37
11012641;11012726;11015875;11127054;11211085;107;0;14;7;125;4_7;38
11277781;11277876;11281011;11392056;11475990;107;0;14;7;125;4_7;39
11542688;11542769;11545933;11657048;11741061;107;0;14;7;125;4_7;40
11811404;11811482;11814692;11932057;12015997;114;0;14;7;125;4_7;41
12082680;12082760;12085908;12205053;12289059;114;0;14;7;125;4_7;42
12355756;12355838;12359002;12478056;12562001;114;0;14;7;125;4_7;43
12628678;12628758;12631908;12757053;12841028;122;0;14;7;125;4_7;44
12907724;12907807;12910960;13036056;13120079;122;0;14;7;125;4_7;45
13186752;13186835;13189987;13315054;13399065;122;0;14;7;125;4_7;46
13465765;13465848;13469002;13594050;13677983;122;0;14;7;125;4_7;47
13748316;13748394;13751608;13883055;13967036;129;0;14;7;125;4_7;48
14033709;14033796;14036948;14170055;14254001;129;0;14;7;125;4_7;49
14320695;14320776;14323935;14457054;14541063;129;0;14;7;125;4_7;50
14607772;14607856;14611015;14750055;14834006;136;0;14;7;125;4_7;51
14900689;14900773;14903935;15043054;15127094;136;0;14;7;125;4_7;52
15193823;15193911;15197061;15336056;15419983;136;0;14;7;125;4_7;53
15486645;15486725;15489882;15629048;15713063;136;0;14;7;125;4_7;54
15779750;15779833;15782998;15930055;16014009;143;0;14;7;125;4_7;55
16084370;16084448;16087663;16233055;16317094;143;0;14;7;125;4_7;56
16383823;16383911;16387070;16534056;16617990;143;0;14;7;125;4_7;57
16684667;16684748;16687904;16843053;16927072;150;0;14;7;125;4_7;58
16993781;16993876;16997027;17152056;17235997;150;0;14;7;125;4_7;59
17302657;17302738;17305898;17461054;17545067;150;0;14;7;125;4_7;60
17611818;17611911;17615068;17770050;17853976;150;0;14;7;125;4_7;61
17920644;17920724;17923888;18085053;18169055;157;0;14;7;125;4_7;62
18239270;18239349;18242577;18402061;18486023;157;0;14;7;125;4_7;63
18552681;18552761;18555931;18717054;18801053;157;0;14;7;125;4_7;64
18867745;18867829;18870996;19040055;19124036;165;0;14;7;125;4_7;65
19190675;19190756;19193929;19363054;19447088;165;0;14;7;125;4_7;66
19513779;19513872;19517025;19686056;19770001;165;0;14;7;125;4_7;67
19836672;19836752;19839929;20009048;20093124;165;0;14;7;125;4_7;68
20159852;20159942;20163097;20338055;20422003;172;0;14;7;125;4_7;69
20488645;20488726;20491894;20667053;20751053;172;0;14;7;125;4_7;70
20821258;20821337;20824559;20998058;21082057;172;0;14;7;125;4_7;71
21148731;21148820;21151988;21335053;21419071;179;0;14;7;125;4_7;72
21485758;21485843;21489019;21672056;21756003;179;0;14;7;125;4_7;73
21822673;21822753;21825918;22009054;22093124;179;0;14;7;125;4_7;74
22159839;22159928;22163097;22346050;22429983;179;0;14;7;125;4_7;75
22496636;22496716;22499882;22691053;22775053;186;0;14;7;125;4_7;76
22841762;22841846;22845023;23036055;23120049;186;0;14;7;125;4_7;77
23186702;23186783;23189953;23381054;23465044;186;0;14;7;125;4_7;78
23535347;23535425;23538655;23734057;23818023;193;0;14;7;125;4_7;79
23884700;23884780;23887961;24085058;24169047;193;0;14;7;125;4_7;80
24235756;24235838;24239011;24436056;24519992;193;0;14;7;125;4_7;81
24586649;24586729;24589908;24787048;24871040;193;0;14;7;125;4_7;82
24937756;24937842;24941019;25146055;25230003;200;0;14;7;125;4_7;83
25296655;25296736;25299908;25505053;25589063;200;0;14;7;125;4_7;84
25655781;25655875;25659048;25864056;25948001;200;0;14;7;125;4_7;85
26018272;26018350;26021585;26231055;26315071;208;0;14;7;125;4_7;86
26381762;26381846;26385023;26596056;26679992;208;0;14;7;125;4_7;87
26746648;26746729;26749911;26961054;27045055;208;0;14;7;125;4_7;88
27111837;27111927;27115093;27326054;27409983;208;0;14;7;125;4_7;89
27476626;27476706;27479888;27699057;27783083;215;0;14;7;125;4_7;90
27849781;27849876;27853050;28072074;28156012;215;0;14;7;125;4_7;91
28222667;28222748;28225927;28445054;28529047;215;0;14;7;125;4_7;92
28595760;28595843;28599021;28824055;28907997;222;0;14;7;125;4_7;93
28978228;28978310;28981541;29205056;29289077;222;0;14;7;125;4_7;94
29355761;29355843;29359021;29584061;29668001;222;0;14;7;125;4_7;95
