TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
3228929;3229007;3229197;3229280;3313375;0;0;14;0;125;4_6;0
3379960;3380041;3380296;4245057;4328942;861;0;14;12;125;4_6;1
4395484;4395565;4398667;5264051;5347927;861;0;14;12;125;4_6;2
5414521;5414602;5417711;6283052;6366862;861;0;14;12;125;4_6;3
6433398;6433478;6436587;7302051;7383499;861;0;14;12;125;4_6;4
7447688;7447768;7450902;8316053;8399898;861;0;14;12;125;4_6;5
8466448;8466529;8469642;9531059;9614985;1057;0;14;12;125;4_6;6
9685279;9685357;9688533;10748059;10831902;1057;0;14;12;125;4_6;7
10898449;10898529;10901633;11963054;12046973;1057;0;14;12;125;4_6;8
12113642;12113723;12116843;13178057;13261918;1057;0;14;12;125;4_6;9
13328561;13328641;13331752;14393055;14477033;1057;0;14;12;125;4_6;10
14543781;14543878;14547006;15804057;15888033;1254;0;14;12;125;4_6;11
15954675;15954756;15957882;17215055;17299063;1254;0;14;12;125;4_6;12
17365757;17365840;17368970;18626056;18710001;1254;0;14;12;125;4_6;13
18776595;18776680;18779794;20037055;20121085;1254;0;14;12;125;4_6;14
20191436;20191514;20194702;21450059;21534005;1254;0;14;12;125;4_6;15
21600690;21600771;21603912;23059055;23143141;1450;0;14;12;125;4_6;16
23209888;23209968;23213099;24668057;24752008;1450;0;14;12;125;4_6;17
24818654;24818734;24821875;26277054;26361065;1450;0;14;12;125;4_6;18
26427743;26427826;26430964;27886057;27970018;1450;0;14;12;125;4_6;19
28036651;28036731;28039856;29495055;29579046;1450;0;14;12;125;4_6;20
29645723;29645805;29648946;31300057;31383988;1647;0;14;12;125;4_6;21
31454249;31454331;31457522;33107057;33191114;1647;0;14;12;125;4_6;22
33257830;33257919;33261058;34912056;34996014;1647;0;14;12;125;4_6;23
35062644;35062724;35065852;36717055;36801075;1647;0;14;12;125;4_6;24
36867764;36867848;36870998;38522057;38606025;1647;0;14;12;125;4_6;25
38672664;38672749;38675886;40523055;40607081;1844;0;14;12;125;4_6;26
40673753;40673836;40676981;42524057;42608018;1844;0;14;12;125;4_6;27
42674667;42674747;42677884;44525063;44609122;1844;0;14;12;125;4_6;28
44675823;44675911;44679050;46526057;46609996;1844;0;14;12;125;4_6;29
46680248;46680326;46683515;48529057;48613063;1844;0;14;12;125;4_6;30
48679773;48679857;48683006;50728056;50812028;2040;0;14;12;125;4_6;31
50878629;50878709;50881846;52927054;53011051;2040;0;14;12;125;4_6;32
53077799;53077894;53081062;55126055;55210022;2040;0;14;12;125;4_6;33
55276668;55276748;55279899;57325058;57409066;2040;0;14;12;125;4_6;34
57475748;57475831;57478977;59524056;59608017;2040;0;14;12;125;4_6;35
59674643;59674723;59677874;61919054;62003066;2237;0;14;12;125;4_6;36
62073431;62073514;62076718;64316058;64400020;2237;0;14;12;125;4_6;37
64466650;64466730;64469872;66711053;66795069;2237;0;14;12;125;4_6;38
66861788;66861886;66865036;69106056;69190023;2237;0;14;12;125;4_6;39
69256671;69256751;69259901;71501054;71585072;2237;0;14;12;125;4_6;40
71651761;71651845;71654996;74092056;74175993;2434;0;14;12;125;4_6;41
74242625;74242705;74245848;76683054;76767055;2434;0;14;12;125;4_6;42
76833785;76833879;76837026;79274055;79357989;2434;0;14;12;125;4_6;43
79428290;79428368;79431570;81869056;81953080;2434;0;14;12;125;4_6;44
82019792;82019884;82023032;84460056;84544017;2434;0;14;12;125;4_6;45
84610649;84610729;84613885;87249054;87333072;2630;0;14;12;125;4_6;46
87399762;87399845;87403003;90038056;90122015;2630;0;14;12;125;4_6;47
90188667;90188752;90191918;92827053;92911084;2630;0;14;12;125;4_6;48
92977758;92977841;92981001;95616056;95700015;2630;0;14;12;125;4_6;49
95766689;95766773;95769934;98405054;98489084;2630;0;14;12;125;4_6;50
98555787;98555880;98559029;101390055;101474016;2827;0;14;12;125;4_6;51
