TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
2785934;2786012;2786202;2786286;2870377;0;0;14;0;125;4_6;0
2936965;2937046;2937309;2968058;3051927;27;0;14;7;125;4_6;1
3118911;3118991;3122097;3159055;3242915;34;0;14;7;125;4_6;2
3309519;3309599;3312716;3350058;3433862;34;0;14;7;125;4_6;3
3500411;3500491;3503600;3541056;3622501;34;0;14;7;125;4_6;4
3686733;3686816;3689941;3727052;3810873;34;0;14;7;125;4_6;5
3877490;3877571;3880698;3924055;4007970;40;0;14;7;125;4_6;6
4078174;4078252;4081439;4123059;4206860;40;0;14;7;125;4_6;7
4273385;4273465;4276575;4320056;4403965;40;0;14;7;125;4_6;8
4470561;4470641;4473757;4523057;4606892;46;0;14;7;125;4_6;9
4673439;4673519;4676657;4726056;4810014;46;0;14;7;125;4_6;10
4876678;4876759;4879892;4929058;5012935;46;0;14;7;125;4_6;11
5079637;5079722;5082835;5132050;5215997;46;0;14;7;125;4_6;12
5282647;5282727;5285849;5341057;5424975;52;0;14;7;125;4_6;13
5491592;5491679;5494791;5550055;5633973;52;0;14;7;125;4_6;14
5700704;5700789;5703927;5759058;5842983;52;0;14;7;125;4_6;15
5913172;5913251;5916434;5976057;6060010;58;0;14;7;125;4_6;16
6126774;6126858;6130002;6191058;6274924;58;0;14;7;125;4_6;17
6341596;6341677;6344807;6406056;6490011;58;0;14;7;125;4_6;18
6556678;6556758;6559908;6621052;6704957;58;0;14;7;125;4_6;19
6771546;6771631;6774762;6844055;6928012;64;0;14;7;125;4_6;20
6994707;6994787;6997927;7067057;7151018;64;0;14;7;125;4_6;21
7217670;7217750;7220888;7290056;7374001;64;0;14;7;125;4_6;22
7440753;7440836;7443985;7519057;7602988;70;0;14;7;125;4_6;23
7673245;7673323;7676524;7752058;7836033;70;0;14;7;125;4_6;24
7902700;7902780;7905927;7981058;8064954;70;0;14;7;125;4_6;25
8131653;8131733;8134860;8210050;8294021;70;0;14;7;125;4_6;26
8360703;8360787;8363933;8445057;8528970;77;0;14;7;125;4_6;27
8595599;8595680;8598813;8680055;8764021;77;0;14;7;125;4_6;28
8830734;8830818;8833959;8915058;8998989;77;0;14;7;125;4_6;29
9065596;9065681;9068857;9156055;9240003;83;0;14;7;125;4_6;30
9306673;9306753;9309906;9397058;9480942;83;0;14;7;125;4_6;31
9547553;9547634;9550770;9638056;9722010;83;0;14;7;125;4_6;32
9792371;9792449;9795650;9881054;9964920;83;0;14;7;125;4_6;33
10031567;10031647;10034786;10128055;10212052;89;0;14;7;125;4_6;34
10278767;10278851;10282004;10375057;10458968;89;0;14;7;125;4_6;35
10525610;10525690;10528831;10622056;10706027;89;0;14;7;125;4_6;36
10772697;10772777;10775929;10875057;10958990;95;0;14;7;125;4_6;37
11025629;11025713;11028854;11128056;11212063;95;0;14;7;125;4_6;38
11278774;11278858;11282013;11381058;11464970;95;0;14;7;125;4_6;39
11531642;11531722;11534875;11634050;11718044;95;0;14;7;125;4_6;40
11788362;11788445;11791656;11895059;11978992;101;0;14;7;125;4_6;41
12045630;12045710;12048852;12154055;12238033;101;0;14;7;125;4_6;42
12304680;12304760;12307925;12413058;12496999;101;0;14;7;125;4_6;43
12563598;12563679;12566821;12678055;12762023;107;0;14;7;125;4_6;44
12828732;12828816;12831967;12943058;13027012;107;0;14;7;125;4_6;45
13093777;13093862;13097015;13208056;13292065;107;0;14;7;125;4_6;46
13358768;13358851;13362011;13473052;13556983;107;0;14;7;125;4_6;47
13631468;13631546;13634755;13750057;13834048;113;0;14;7;125;4_6;48
13900736;13900825;13903972;14021057;14105042;113;0;14;7;125;4_6;49
14171688;14171769;14174927;14292056;14376036;113;0;14;7;125;4_6;50
14442711;14442792;14445954;14569057;14653016;120;0;14;7;125;4_6;51
14719652;14719733;14722896;14846060;14930048;120;0;14;7;125;4_6;52
14996750;14996834;14999989;15123058;15206975;120;0;14;7;125;4_6;53
15273590;15273674;15276819;15400050;15484044;120;0;14;7;125;4_6;54
15550723;15550805;15553968;15683057;15766983;126;0;14;7;125;4_6;55
15839411;15839489;15842700;15970057;16054025;126;0;14;7;125;4_6;56
16120880;16120960;16124123;16253057;16336975;126;0;14;7;125;4_6;57
16403645;16403726;16406886;16542055;16626063;132;0;14;7;125;4_6;58
16692756;16692839;16696000;16831058;16914983;132;0;14;7;125;4_6;59
