TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
2572934;2573013;2573203;2573286;2657375;0;0;14;0;125;4_6;0
2723967;2724048;2724311;2835057;2918933;108;0;14;9;125;4_6;1
2985470;2985550;2988659;3100057;3183968;108;0;14;9;125;4_6;2
3250581;3250662;3253775;3365053;3448862;108;0;14;9;125;4_6;3
3515404;3515485;3518591;3656055;3737523;133;0;14;9;125;4_6;4
3801738;3801822;3804952;3942057;4025933;133;0;14;9;125;4_6;5
4092610;4092698;4095815;4233055;4316975;133;0;14;9;125;4_6;6
4387288;4387366;4390548;4526059;4609927;133;0;14;9;125;4_6;7
4676467;4676548;4679656;4817050;4900946;133;0;14;9;125;4_6;8
4967554;4967634;4970748;5132057;5215862;157;0;14;9;125;4_6;9
5282456;5282536;5285644;5447055;5531033;157;0;14;9;125;4_6;10
5597720;5597805;5600946;5762057;5845935;157;0;14;9;125;4_6;11
5912573;5912657;5915766;6077055;6161014;157;0;14;9;125;4_6;12
6227637;6227717;6230835;6416057;6499952;182;0;14;9;125;4_6;13
6566583;6566671;6569781;6755055;6838999;182;0;14;9;125;4_6;14
6905739;6905828;6908964;7094057;7177996;182;0;14;9;125;4_6;15
7248417;7248495;7251675;7437057;7521079;182;0;14;9;125;4_6;16
7587802;7587893;7591029;7776052;7859977;182;0;14;9;125;4_6;17
7926647;7926727;7929858;8141055;8225033;206;0;14;9;125;4_6;18
8291709;8291790;8294935;8508057;8591973;206;0;14;9;125;4_6;19
8658583;8658667;8661794;8873055;8957025;206;0;14;9;125;4_6;20
9023734;9023818;9026954;9238057;9321990;206;0;14;9;125;4_6;21
9388652;9388733;9391873;9627055;9711033;231;0;14;9;125;4_6;22
9777782;9777874;9781017;10016057;10100042;231;0;14;9;125;4_6;23
10170255;10170334;10173522;10409057;10493055;231;0;14;9;125;4_6;24
10559747;10559830;10562974;10798057;10881985;231;0;14;9;125;4_6;25
10948612;10948697;10951825;11187050;11271075;231;0;14;9;125;4_6;26
11337813;11337903;11341037;11600057;11683978;255;0;14;9;125;4_6;27
11750579;11750660;11753791;12013055;12097098;255;0;14;9;125;4_6;28
12163767;12163850;12167000;12426061;12509978;255;0;14;9;125;4_6;29
12576635;12576715;12579849;12839055;12923033;255;0;14;9;125;4_6;30
12989705;12989785;12992940;13276057;13359975;280;0;14;9;125;4_6;31
13430174;13430252;13433451;13715057;13799048;280;0;14;9;125;4_6;32
13865693;13865773;13868927;14152057;14235992;280;0;14;9;125;4_6;33
14302675;14302756;14305908;14589055;14673025;280;0;14;9;125;4_6;34
14739760;14739842;14742989;15026052;15110012;280;0;14;9;125;4_6;35
15176641;15176722;15179860;15489055;15573035;305;0;14;9;125;4_6;36
15639740;15639824;15642972;15952057;16036001;305;0;14;9;125;4_6;37
16102700;16102784;16105931;16415055;16499035;305;0;14;9;125;4_6;38
16569322;16569400;16572651;16880059;16963981;305;0;14;9;125;4_6;39
17030629;17030709;17033847;17367059;17451067;329;0;14;9;125;4_6;40
17517762;17517846;17520998;17854057;17937973;329;0;14;9;125;4_6;41
18004610;18004690;18007831;18341055;18425038;329;0;14;9;125;4_6;42
18491726;18491810;18494968;18828057;18912016;329;0;14;9;125;4_6;43
18978628;18978733;18981880;19315050;19399010;329;0;14;9;125;4_6;44
19465678;19465759;19468925;19826057;19910016;354;0;14;9;125;4_6;45
19976661;19976741;19979906;20337059;20421046;354;0;14;9;125;4_6;46
20491370;20491448;20494659;20850059;20933992;354;0;14;9;125;4_6;47
21000630;21000710;21003854;21361055;21445053;354;0;14;9;125;4_6;48
21511772;21511860;21515019;21898057;21982012;378;0;14;9;125;4_6;49
22048632;22048712;22051862;22435055;22519046;378;0;14;9;125;4_6;50
22585754;22585836;22589002;22972057;23055992;378;0;14;9;125;4_6;51
23122679;23122760;23125920;23509055;23593033;378;0;14;9;125;4_6;52
23659722;23659805;23662968;24046052;24129996;378;0;14;9;125;4_6;53
24196630;24196710;24199862;24607055;24691092;403;0;14;9;125;4_6;54
24761370;24761448;24764665;25170059;25253975;403;0;14;9;125;4_6;55
25320618;25320699;25323851;25731055;25815067;403;0;14;9;125;4_6;56
25881785;25881878;25885037;26292061;26375990;403;0;14;9;125;4_6;57
26442653;26442733;26445890;26877055;26961033;428;0;14;9;125;4_6;58
27027720;27027805;27030973;27462057;27546016;428;0;14;9;125;4_6;59
27612653;27612737;27615894;28047055;28131069;428;0;14;9;125;4_6;60
28197758;28197840;28201004;28632057;28715973;428;0;14;9;125;4_6;61
