TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
13974915;13974993;13975183;13975273;14059371;0;0;14;0;125;4_8;0
14126066;14126146;14126404;14593055;14676960;463;0;14;11;125;4_8;1
14743500;14743581;14746688;15214051;15297948;463;0;14;11;125;4_8;2
15364562;15364642;15367750;15835053;15918888;463;0;14;11;125;4_8;3
15985433;15985513;15988623;16456051;16537538;463;0;14;11;125;4_8;4
16601750;16601832;16604962;17204057;17287956;594;0;14;11;125;4_8;5
17354507;17354588;17357701;17957055;18040994;594;0;14;11;125;4_8;6
18111309;18111387;18114560;18712059;18795896;594;0;14;11;125;4_8;7
18862459;18862539;18865646;19465055;19548994;594;0;14;11;125;4_8;8
19615685;19615766;19618902;20218052;20301933;594;0;14;11;125;4_8;9
20368554;20368636;20371743;21101056;21185055;725;0;14;11;125;4_8;10
21251759;21251846;21254981;21984061;22068034;725;0;14;11;125;4_8;11
22134668;22134748;22137862;22867055;22951035;725;0;14;11;125;4_8;12
23017736;23017820;23020954;23750057;23833975;725;0;14;11;125;4_8;13
23904232;23904314;23907491;24767057;24851079;857;0;14;11;125;4_8;14
24917789;24917881;24920994;25782057;25865978;857;0;14;11;125;4_8;15
25932642;25932723;25935854;26797055;26881073;857;0;14;11;125;4_8;16
26947785;26947878;26951013;27812061;27895990;857;0;14;11;125;4_8;17
27962630;27962710;27965835;28827050;28911033;857;0;14;11;125;4_8;18
28977707;28977787;28980929;29972057;30055990;988;0;14;11;125;4_8;19
30122613;30122698;30125823;31117055;31201038;988;0;14;11;125;4_8;20
31267702;31267782;31270920;32262057;32345994;988;0;14;11;125;4_8;21
32416315;32416398;32419592;33409057;33493071;988;0;14;11;125;4_8;22
33559781;33559874;33563006;34686057;34770014;1119;0;14;11;125;4_8;23
34836645;34836725;34839854;35963055;36047065;1119;0;14;11;125;4_8;24
36113802;36113897;36117039;37240057;37324039;1119;0;14;11;125;4_8;25
37390740;37390824;37393959;38517055;38601059;1119;0;14;11;125;4_8;26
38667743;38667826;38670972;39794052;39878005;1119;0;14;11;125;4_8;27
39944660;39944740;39947877;41201059;41285069;1250;0;14;11;125;4_8;28
41355370;41355448;41358645;42610059;42694025;1250;0;14;11;125;4_8;29
42760647;42760727;42763857;44017055;44101087;1250;0;14;11;125;4_8;30
44167767;44167851;44170989;45424057;45508021;1250;0;14;11;125;4_8;31
45574645;45574725;45577860;46963055;47047059;1381;0;14;11;125;4_8;32
47113834;47113928;47117074;48502057;48586025;1381;0;14;11;125;4_8;33
48652673;48652753;48655902;50041059;50125094;1381;0;14;11;125;4_8;34
50191788;50191881;50195023;51580056;51664020;1381;0;14;11;125;4_8;35
51730660;51730740;51733891;53119048;53203062;1381;0;14;11;125;4_8;36
53273361;53273443;53276645;54790058;54874024;1512;0;14;11;125;4_8;37
54940653;54940733;54943879;56459054;56543064;1512;0;14;11;125;4_8;38
56609778;56609876;56613016;58128064;58212038;1512;0;14;11;125;4_8;39
58278676;58278757;58281905;59797054;59881061;1512;0;14;11;125;4_8;40
59947772;59947854;59951013;61598056;61681995;1643;0;14;11;125;4_8;41
61748644;61748725;61751876;63399054;63483090;1643;0;14;11;125;4_8;42
63549756;63549839;63552986;65200056;65283982;1643;0;14;11;125;4_8;43
65354242;65354321;65357531;67003056;67087088;1643;0;14;11;125;4_8;44
67153780;67153874;67157024;68804055;68888026;1643;0;14;11;125;4_8;45
68954657;68954737;68957889;70735064;70819076;1774;0;14;11;125;4_8;46
70885758;70885841;70888996;72666071;72750020;1774;0;14;11;125;4_8;47
72816694;72816779;72819939;74597068;74681095;1774;0;14;11;125;4_8;48
74747784;74747877;74751024;76528074;76612033;1774;0;14;11;125;4_8;49
76678703;76678788;76681947;78591054;78675078;1905;0;14;11;125;4_8;50
78741765;78741850;78745005;80654056;80738020;1905;0;14;11;125;4_8;51
