TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
3578933;3579011;3579201;3579285;3663373;0;0;14;0;125;4_7;0
3729976;3730056;3730320;3845057;3928931;112;0;14;9;125;4_7;1
3995479;3995560;3998665;4114051;4197929;112;0;14;9;125;4_7;2
4264545;4264625;4267740;4383065;4466877;112;0;14;9;125;4_7;3
4533425;4533505;4536616;4682055;4763503;141;0;14;9;125;4_7;4
4827702;4827782;4830916;4976057;5059884;141;0;14;9;125;4_7;5
5126518;5126598;5129711;5275055;5358960;141;0;14;9;125;4_7;6
5429241;5429320;5432500;5576059;5659898;141;0;14;9;125;4_7;7
5726455;5726535;5729650;5875050;5958942;141;0;14;9;125;4_7;8
6025540;6025620;6028734;6202057;6285880;169;0;14;9;125;4_7;9
6352458;6352538;6355650;6529055;6613046;169;0;14;9;125;4_7;10
6679757;6679838;6682978;6856057;6939962;169;0;14;9;125;4_7;11
7006648;7006729;7009845;7183055;7267033;169;0;14;9;125;4_7;12
7333694;7333775;7336904;7538057;7621967;198;0;14;9;125;4_7;13
7688605;7688694;7691811;7893055;7977001;198;0;14;9;125;4_7;14
8043698;8043783;8046918;8248057;8331994;198;0;14;9;125;4_7;15
8402336;8402414;8405602;8607057;8691077;198;0;14;9;125;4_7;16
8757762;8757846;8760987;8962051;9045994;198;0;14;9;125;4_7;17
9112692;9112772;9115916;9347055;9431023;227;0;14;9;125;4_7;18
9497691;9497772;9500918;9732057;9815954;227;0;14;9;125;4_7;19
9882583;9882667;9885793;10117055;10201057;227;0;14;9;125;4_7;20
10267711;10267791;10270931;10502057;10585973;227;0;14;9;125;4_7;21
10652624;10652708;10655840;10915055;10999048;255;0;14;9;125;4_7;22
11065771;11065853;11069073;11328057;11412029;255;0;14;9;125;4_7;23
11482420;11482498;11485693;11743057;11827033;255;0;14;9;125;4_7;24
11893737;11893820;11896962;12156057;12239992;255;0;14;9;125;4_7;25
12306631;12306716;12309854;12569050;12653077;255;0;14;9;125;4_7;26
12719811;12719902;12723033;13012057;13096016;284;0;14;9;125;4_7;27
13162630;13162711;13165845;13455055;13539061;284;0;14;9;125;4_7;28
13605802;13605893;13609031;13898057;13981990;284;0;14;9;125;4_7;29
14048641;14048722;14051852;14341055;14425036;284;0;14;9;125;4_7;30
14495399;14495477;14498674;14814060;14897999;313;0;14;9;125;4_7;31
14964632;14964713;14967852;15285055;15369030;313;0;14;9;125;4_7;32
15435707;15435788;15438940;15756057;15839981;313;0;14;9;125;4_7;33
15906667;15906747;15909902;16227055;16311067;313;0;14;9;125;4_7;34
16377770;16377853;16381019;16698052;16781990;313;0;14;9;125;4_7;35
16848637;16848718;16851856;17197055;17281033;341;0;14;9;125;4_7;36
17347749;17347836;17350983;17696057;17780001;341;0;14;9;125;4_7;37
17846660;17846740;17849890;18195055;18279040;341;0;14;9;125;4_7;38
18349419;18349497;18352707;18696059;18779999;341;0;14;9;125;4_7;39
18846662;18846742;18849894;19225059;19309061;370;0;14;9;125;4_7;40
19375759;19375840;19378998;19754057;19837978;370;0;14;9;125;4_7;41
19904621;19904702;19907842;20283055;20367035;370;0;14;9;125;4_7;42
20433741;20433826;20436978;20812057;20896018;370;0;14;9;125;4_7;43
20962626;20962706;20965845;21341050;21425036;370;0;14;9;125;4_7;44
21491765;21491848;21495008;21898057;21982008;399;0;14;9;125;4_7;45
22048671;22048751;22051906;22455059;22539055;399;0;14;9;125;4_7;46
22609457;22609535;22612745;23014060;23098018;399;0;14;9;125;4_7;47
23164655;23164736;23167906;23571055;23655039;399;0;14;9;125;4_7;48
23721776;23721875;23725021;24156057;24239994;428;0;14;9;125;4_7;49
24306630;24306711;24309856;24741055;24825071;428;0;14;9;125;4_7;50
24891787;24891881;24895035;25326057;25410012;428;0;14;9;125;4_7;51
25476654;25476735;25479902;25911055;25995046;428;0;14;9;125;4_7;52
26061740;26061824;26064976;26496052;26579964;428;0;14;9;125;4_7;53
26650315;26650393;26653606;27113057;27197069;456;0;14;9;125;4_7;54
27263744;27263828;27266987;27728057;27811985;456;0;14;9;125;4_7;55
27878641;27878749;27881922;28343055;28427069;456;0;14;9;125;4_7;56
28493804;28493895;28497052;28958057;29041985;456;0;14;9;125;4_7;57
29108659;29108739;29111898;29601055;29685055;485;0;14;9;125;4_7;58
29751754;29751836;29754994;30244057;30327981;485;0;14;9;125;4_7;59
30394664;30394749;30397912;30887055;30971073;485;0;14;9;125;4_7;60
31037754;31037836;31041000;31530057;31613994;485;0;14;9;125;4_7;61
31684217;31684295;31687512;32175052;32259035;485;0;14;9;125;4_7;62
32325769;32325853;32329017;32846057;32930012;514;0;14;9;125;4_7;63
32996681;32996761;32999931;33517055;33601048;514;0;14;9;125;4_7;64
33667755;33667838;33671006;34188057;34271988;514;0;14;9;125;4_7;65
34338648;34338728;34341904;34859055;34943016;514;0;14;9;125;4_7;66
35009721;35009805;35012972;35560057;35644008;542;0;14;9;125;4_7;67
35710668;35710748;35713916;36261059;36345055;542;0;14;9;125;4_7;68
36411759;36411840;36415008;36962057;37045999;542;0;14;9;125;4_7;69
37116312;37116390;37119615;37665057;37749059;542;0;14;9;125;4_7;70
37815762;37815850;37819021;38366052;38450025;542;0;14;9;125;4_7;71
38516681;38516761;38519931;39095055;39179073;571;0;14;9;125;4_7;72
39245774;39245857;39249035;39824057;39907994;571;0;14;9;125;4_7;73
39974656;39974737;39977906;40553059;40637067;571;0;14;9;125;4_7;74
40703767;40703851;40707025;41282057;41365985;571;0;14;9;125;4_7;75
41432616;41432699;41435858;42039055;42123109;600;0;14;9;125;4_7;76
42193550;42193629;42196858;42798059;42881988;600;0;14;9;125;4_7;77
42948609;42948689;42951854;43555055;43639036;600;0;14;9;125;4_7;78
43705761;43705846;43709011;44312065;44396023;600;0;14;9;125;4_7;79
44462687;44462768;44465952;45069056;45153038;600;0;14;9;125;4_7;80
45219731;45219816;45222989;45856057;45939988;628;0;14;9;125;4_7;81
46006613;46006697;46009882;46643055;46727089;628;0;14;9;125;4_7;82
46793787;46793881;46797052;47430057;47513978;628;0;14;9;125;4_7;83
47580664;47580745;47583929;48217055;48301040;628;0;14;9;125;4_7;84
48371471;48371550;48374781;49034063;49118012;657;0;14;9;125;4_7;85
49184635;49184716;49187888;49849055;49933038;657;0;14;9;125;4_7;86
49999686;49999767;50002955;50664056;50748011;657;0;14;9;125;4_7;87
50814680;50814760;50817943;51481058;51565034;657;0;14;9;125;4_7;88
51631746;51631829;51635012;52296055;52380007;657;0;14;9;125;4_7;89
52446673;52446754;52449936;53139054;53223095;686;0;14;9;125;4_7;90
53289777;53289872;53293044;53982056;54065984;686;0;14;9;125;4_7;91
54132656;54132737;54135916;54825054;54909034;686;0;14;9;125;4_7;92
54979384;54979467;54982710;55670058;55754022;686;0;14;9;125;4_7;93
55820690;55820770;55823952;56543054;56627064;714;0;14;9;125;4_7;94
56693784;56693877;56697053;57416056;57500011;714;0;14;9;125;4_7;95
57566667;57566748;57569956;58289058;58373053;714;0;14;9;125;4_7;96
58439750;58439833;58443020;59162056;59245982;714;0;14;9;125;4_7;97
59312605;59312690;59315874;60035049;60119095;714;0;14;9;125;4_7;98
60185819;60185908;60189089;60936056;61019974;743;0;14;9;125;4_7;99
61090375;61090453;61093682;61839056;61923089;743;0;14;9;125;4_7;100
61989819;61989908;61993093;62740056;62824026;743;0;14;9;125;4_7;101
62890659;62890739;62893930;63641054;63725067;743;0;14;9;125;4_7;102
63791757;63791839;63795030;64570056;64654011;772;0;14;9;125;4_7;103
64720655;64720739;64723930;65499054;65583111;772;0;14;9;125;4_7;104
65649806;65649896;65653079;66428056;66512007;772;0;14;9;125;4_7;105
66578679;66578766;66581967;67357054;67441088;772;0;14;9;125;4_7;106
67507812;67507902;67511089;68286051;68369998;772;0;14;9;125;4_7;107
68440354;68440432;68443669;69247056;69331061;800;0;14;9;125;4_7;108
69397736;69397819;69401009;70206056;70290028;800;0;14;9;125;4_7;109
70356639;70356719;70359909;71165054;71249053;800;0;14;9;125;4_7;110
71315756;71315839;71319030;72124056;72208015;800;0;14;9;125;4_7;111
72274700;72274781;72277978;73111054;73195117;829;0;14;9;125;4_7;112
73261817;73261906;73265100;74098056;74182004;829;0;14;9;125;4_7;113
74248642;74248723;74251919;75085054;75169061;829;0;14;9;125;4_7;114
75239459;75239541;75242808;76074058;76158024;829;0;14;9;125;4_7;115
