TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
15019923;15020001;15020191;15020274;15104446;0;0;14;0;125;4_5;0
15171036;15171116;15171372;15202054;15285936;26;0;14;7;125;4_5;1
15352485;15352566;15355672;15391051;15474942;31;0;14;7;125;4_5;2
15541560;15541640;15544753;15580054;15663876;31;0;14;7;125;4_5;3
15730429;15730509;15733615;15769052;15850510;31;0;14;7;125;4_5;4
15914738;15914822;15917954;15953048;16036876;31;0;14;7;125;4_5;5
16103528;16103613;16106724;16148051;16231946;37;0;14;7;125;4_5;6
16302220;16302298;16305477;16345055;16428880;37;0;14;7;125;4_5;7
16495438;16495519;16498624;16540052;16623981;37;0;14;7;125;4_5;8
16690652;16690732;16693852;16739053;16822871;42;0;14;7;125;4_5;9
16889499;16889579;16892687;16938052;17022045;42;0;14;7;125;4_5;10
17088897;17088977;17092107;17137054;17221015;42;0;14;7;125;4_5;11
17287653;17287733;17290854;17336046;17420024;42;0;14;7;125;4_5;12
17486707;17486787;17489916;17541053;17624966;47;0;14;7;125;4_5;13
17691580;17691664;17694780;17746051;17830055;47;0;14;7;125;4_5;14
17900576;17900654;17903856;17953056;18036964;47;0;14;7;125;4_5;15
18103700;18103781;18106921;18162051;18246057;52;0;14;7;125;4_5;16
18312748;18312832;18315968;18371054;18454994;52;0;14;7;125;4_5;17
18521646;18521726;18524856;18580052;18664029;52;0;14;7;125;4_5;18
18730729;18730814;18733956;18789048;18872966;52;0;14;7;125;4_5;19
18939607;18939687;18942815;19004051;19088139;57;0;14;7;125;4_5;20
19154791;19154883;19158009;19219053;19302969;57;0;14;7;125;4_5;21
19369621;19369702;19372833;19434052;19518042;57;0;14;7;125;4_5;22
19588447;19588529;19591726;19657055;19740974;62;0;14;7;125;4_5;23
19807603;19807684;19810811;19878052;19962029;62;0;14;7;125;4_5;24
20028705;20028785;20031927;20099054;20182994;62;0;14;7;125;4_5;25
20249646;20249730;20252871;20320046;20404055;62;0;14;7;125;4_5;26
20470738;20470822;20473966;20545053;20628995;67;0;14;7;125;4_5;27
20695667;20695748;20698890;20770051;20854026;67;0;14;7;125;4_5;28
20920752;20920834;20923979;20995054;21079015;67;0;14;7;125;4_5;29
21149314;21149392;21152591;21228053;21312029;72;0;14;7;125;4_5;30
21378689;21378769;21381916;21459054;21542972;72;0;14;7;125;4_5;31
21609656;21609737;21612886;21690052;21773993;72;0;14;7;125;4_5;32
21840701;21840781;21843938;21921048;22004990;72;0;14;7;125;4_5;33
22071737;22071824;22074975;22156051;22240045;78;0;14;7;125;4_5;34
22306736;22306820;22309969;22391053;22474964;78;0;14;7;125;4_5;35
22541604;22541687;22544827;22626052;22710036;78;0;14;7;125;4_5;36
22776702;22776786;22779944;22867053;22950999;83;0;14;7;125;4_5;37
23021256;23021334;23024537;23110054;23194031;83;0;14;7;125;4_5;38
23260687;23260768;23263929;23351054;23434981;83;0;14;7;125;4_5;39
23501650;23501730;23504880;23592046;23675999;83;0;14;7;125;4_5;40
23742686;23742767;23745925;23837053;23920963;88;0;14;7;125;4_5;41
NaN;23987656;23990792;24082051;24166051;88;0;14;7;125;4_5;42
24232705;24232786;24235944;24327054;24410963;88;0;14;7;125;4_5;43
24477624;24477705;24480845;24578051;24662019;93;0;14;7;125;4_5;44
24728758;24728842;24731998;24829054;24912995;93;0;14;7;125;4_5;45
24983305;24983383;24986596;25082054;25166032;93;0;14;7;125;4_5;46
25232724;25232808;25235960;25333048;25416969;93;0;14;7;125;4_5;47
25483601;25483685;25486831;25588051;25672033;98;0;14;7;125;4_5;48
25738759;25738842;25741996;25843053;25926966;98;0;14;7;125;4_5;49
25993642;25993722;25996880;26098052;26182049;98;0;14;7;125;4_5;50
26248749;26248832;26251983;26359057;26443008;103;0;14;7;125;4_5;51
26509650;26509731;26512892;26620052;26704040;103;0;14;7;125;4_5;52
26770721;26770806;26773958;26881054;26964977;103;0;14;7;125;4_5;53
27035271;27035349;27038556;27144048;27228059;103;0;14;7;125;4_5;54
27294746;27294830;27297988;27411053;27494990;108;0;14;7;125;4_5;55
27561618;27561698;27564852;27678051;27762042;108;0;14;7;125;4_5;56
27828796;27828887;27832041;27945054;28028986;108;0;14;7;125;4_5;57
28095698;28095779;28098936;28216051;28300051;113;0;14;7;125;4_5;58
28366756;28366839;28370004;28487054;28570979;113;0;14;7;125;4_5;59
28637647;28637732;28640892;28758052;28842057;113;0;14;7;125;4_5;60
28912238;28912316;28915539;29031050;29115013;113;0;14;7;125;4_5;61
29181705;29181785;29184956;29308051;29392075;119;0;14;7;125;4_5;62
29458761;29458844;29462004;29585053;29668986;119;0;14;7;125;4_5;63
29735628;29735708;29738869;29862052;29946029;119;0;14;7;125;4_5;64
30012735;30012818;30015981;30143053;30227015;124;0;14;7;125;4_5;65
30293659;30293739;30296902;30424052;30508042;124;0;14;7;125;4_5;66
30574768;30574852;30578035;30705054;30789021;124;0;14;7;125;4_5;67
