TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
3256922;3257001;3257191;3257274;3341390;0;0;14;0;125;4_5;0
3407976;3408056;3408312;4239055;4322944;828;0;14;12;125;4_5;1
4389482;4389563;4392665;5224049;5307935;828;0;14;12;125;4_5;2
5374559;5374639;5377748;6209050;6292873;828;0;14;12;125;4_5;3
6359410;6359490;6362602;7194049;7275543;828;0;14;12;125;4_5;4
7339730;7339813;7342944;8174051;8257896;828;0;14;12;125;4_5;5
8324513;8324594;8327711;9323053;9406950;992;0;14;12;125;4_5;6
9478045;9478123;9481296;10475057;10558906;992;0;14;12;125;4_5;7
10625475;10625556;10628660;11624052;11707971;992;0;14;12;125;4_5;8
11774633;11774714;11777833;12773055;12856904;992;0;14;12;125;4_5;9
12923545;12923625;12926739;13922065;14006113;992;0;14;12;125;4_5;10
14072836;14072928;14076060;15235055;15319014;1156;0;14;12;125;4_5;11
15385659;15385739;15388853;16548053;16632071;1156;0;14;12;125;4_5;12
16698770;16698853;16701983;17861055;17945003;1156;0;14;12;125;4_5;13
18011618;18011703;18014822;19174053;19258089;1156;0;14;12;125;4_5;14
19328611;19328689;19331884;20489058;20572992;1156;0;14;12;125;4_5;15
20639617;20639697;20642824;21966053;22050105;1319;0;14;12;125;4_5;16
22116848;22116939;22120076;23443059;23527023;1319;0;14;12;125;4_5;17
23593674;23593755;23596896;24920052;25004071;1319;0;14;12;125;4_5;18
25070740;25070823;25074011;26397055;26481001;1319;0;14;12;125;4_5;19
26547645;26547726;26550852;27874053;27958088;1319;0;14;12;125;4_5;20
28024781;28024872;28028004;29515055;29599042;1483;0;14;12;125;4_5;21
29669856;29669947;29673139;31158055;31242089;1483;0;14;12;125;4_5;22
31308823;31308911;31312050;32799054;32883003;1483;0;14;12;125;4_5;23
32949635;32949716;32952842;34440053;34524088;1483;0;14;12;125;4_5;24
34590781;34590877;34594017;36081055;36165014;1483;0;14;12;125;4_5;25
36231709;36231796;36234931;37886053;37970085;1647;0;14;12;125;4_5;26
38036773;38036857;38040009;39691055;39775042;1647;0;14;12;125;4_5;27
39841705;39841785;39844931;41496052;41580113;1647;0;14;12;125;4_5;28
41646831;41646922;41650061;43301055;43385028;1647;0;14;12;125;4_5;29
43455281;43455360;43458552;45108055;45192065;1647;0;14;12;125;4_5;30
45258761;45258846;45261992;47077055;47160976;1811;0;14;12;125;4_5;31
47227663;47227743;47230886;49046053;49130098;1811;0;14;12;125;4_5;32
49196800;49196893;49200035;51015053;51099022;1811;0;14;12;125;4_5;33
51165658;51165738;51168887;52984056;53068062;1811;0;14;12;125;4_5;34
53134780;53134875;53138018;54953054;55037000;1811;0;14;12;125;4_5;35
55103659;55103739;55106883;57086052;57170054;1975;0;14;12;125;4_5;36
57240455;57240538;57243748;59221056;59305032;1975;0;14;12;125;4_5;37
59371672;59371752;59374915;61354051;61438084;1975;0;14;12;125;4_5;38
61504810;61504904;61508049;63487054;63570993;1975;0;14;12;125;4_5;39
63637667;63637748;63640893;65620052;65704068;1975;0;14;12;125;4_5;40
65770753;65770837;65773991;67917054;68000993;2139;0;14;12;125;4_5;41
68067632;68067712;68070852;70214052;70298104;2139;0;14;12;125;4_5;42
70364767;70364850;70368003;72511053;72594993;2139;0;14;12;125;4_5;43
72661629;72661710;72664850;74808052;74892084;2139;0;14;12;125;4_5;44
74962508;74962586;74965799;77107060;77191013;2139;0;14;12;125;4_5;45
77257687;77257767;77260926;79568052;79652056;2302;0;14;12;125;4_5;46
79718734;79718818;79721971;82029054;82113009;2302;0;14;12;125;4_5;47
82179672;82179756;82182912;84490051;84574093;2302;0;14;12;125;4_5;48
84640766;84640850;84644007;86951054;87035011;2302;0;14;12;125;4_5;49
87101724;87101812;87104969;89412052;89496082;2302;0;14;12;125;4_5;50
89562796;89562886;89566040;92037054;92121019;2466;0;14;12;125;4_5;51
