TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
2527931;2528009;2528197;2528280;2612377;0;0;14;0;250;4_7;0
2678976;2679056;2679320;2698058;2781937;14;0;14;7;250;4_7;1
2848479;2848559;2851666;2873055;2956910;18;0;14;7;250;4_7;2
3023517;3023597;3026713;3048058;3132305;18;0;14;7;250;4_7;3
3198859;3198949;3202056;3223056;3304533;18;0;14;7;250;4_7;4
3368700;3368780;3371904;3393052;3476875;18;0;14;7;250;4_7;5
3543493;3543574;3546699;3572055;3655970;22;0;14;7;250;4_7;6
3726203;3726281;3729464;3755059;3838918;22;0;14;7;250;4_7;7
3905486;3905567;3908680;3934056;4017973;22;0;14;7;250;4_7;8
4084698;4084778;4087908;4117057;4200877;25;0;14;7;250;4_7;9
4267444;4267524;4270632;4300056;4384033;25;0;14;7;250;4_7;10
4450686;4450767;4453896;4483058;4566948;25;0;14;7;250;4_7;11
4633585;4633673;4636785;4666050;4749988;25;0;14;7;250;4_7;12
4816642;4816723;4819845;4853057;4936935;29;0;14;7;250;4_7;13
5003541;5003629;5006747;5040055;5124124;29;0;14;7;250;4_7;14
5190851;5190945;5194063;5227058;5310996;29;0;14;7;250;4_7;15
5385645;5385723;5388920;5426057;5510051;32;0;14;7;250;4_7;16
5576749;5576832;5579972;5617058;5700980;32;0;14;7;250;4_7;17
5767617;5767697;5770835;5808056;5892014;32;0;14;7;250;4_7;18
5958696;5958777;5961925;5999052;6083003;32;0;14;7;250;4_7;19
6149626;6149706;6152840;6192055;6276019;36;0;14;7;250;4_7;20
6342653;6342733;6345875;6385057;6468939;36;0;14;7;250;4_7;21
6535599;6535682;6538819;6578056;6662014;36;0;14;7;250;4_7;22
6728737;6728820;6731967;6775057;6858981;40;0;14;7;250;4_7;23
6931405;6931483;6934671;6978058;7062033;40;0;14;7;250;4_7;24
7128774;7128857;7132002;7175058;7258948;40;0;14;7;250;4_7;25
7325585;7325666;7328791;7372050;7456012;40;0;14;7;250;4_7;26
7522750;7522836;7525981;7573057;7656973;43;0;14;7;250;4_7;27
7723583;7723664;7726791;7774055;7858065;43;0;14;7;250;4_7;28
7924764;7924848;7927992;7975058;8058989;43;0;14;7;250;4_7;29
8125704;8125784;8128931;8180055;8264006;47;0;14;7;250;4_7;30
8330675;8330756;8333904;8385058;8468957;47;0;14;7;250;4_7;31
8535572;8535653;8538789;8590056;8674012;47;0;14;7;250;4_7;32
8744427;8744505;8747706;8797054;8880939;47;0;14;7;250;4_7;33
8947583;8947664;8950809;9006055;9090098;50;0;14;7;250;4_7;34
9156773;9156857;9160006;9215061;9298973;50;0;14;7;250;4_7;35
9365605;9365685;9368825;9424056;9508012;50;0;14;7;250;4_7;36
9574705;9574785;9577935;9635057;9718944;54;0;14;7;250;4_7;37
9785593;9785682;9788835;9846056;9930037;54;0;14;7;250;4_7;38
9996739;9996822;9999973;10057058;10141021;54;0;14;7;250;4_7;39
10207674;10207754;10210906;10268050;10352063;54;0;14;7;250;4_7;40
10422499;10422577;10425788;10485059;10568983;57;0;14;7;250;4_7;41
10635628;10635708;10638849;10700055;10784036;57;0;14;7;250;4_7;42
10850714;10850794;10853957;10915058;10998975;57;0;14;7;250;4_7;43
11065681;11065762;11068922;11134055;11218046;61;0;14;7;250;4_7;44
11284733;11284818;11287972;11353058;11436975;61;0;14;7;250;4_7;45
11503667;11503747;11506906;11572056;11656014;61;0;14;7;250;4_7;46
11722744;11722828;11725983;11791052;11874970;61;0;14;7;250;4_7;47
11941602;11941682;11944825;12014055;12098098;65;0;14;7;250;4_7;48
12168462;12168540;12171750;12239059;12322973;65;0;14;7;250;4_7;49
12389645;12389729;12392882;12462056;12546019;65;0;14;7;250;4_7;50
12612701;12612781;12615942;12689057;12772978;68;0;14;7;250;4_7;51
12839632;12839713;12842858;12916060;13000071;68;0;14;7;250;4_7;52
13066848;13066939;13070088;13143058;13226967;68;0;14;7;250;4_7;53
13293623;13293704;13296854;13370050;13454035;68;0;14;7;250;4_7;54
13520731;13520814;13523974;13599057;13682988;72;0;14;7;250;4_7;55
13749612;13749692;13752835;13828055;13912016;72;0;14;7;250;4_7;56
13982397;13982475;13985704;14059059;14143037;72;0;14;7;250;4_7;57
14209722;14209805;14212957;14292055;14376033;75;0;14;7;250;4_7;58
14442735;14442818;14445978;14525058;14608985;75;0;14;7;250;4_7;59
14675612;14675692;14678843;14758056;14842019;75;0;14;7;250;4_7;60
14908750;14908836;14912000;14991052;15075050;75;0;14;7;250;4_7;61
15141701;15141781;15144942;15228055;15312061;79;0;14;7;250;4_7;62
15378784;15378878;15382054;15465057;15548970;79;0;14;7;250;4_7;63
15619210;15619288;15622504;15704058;15788023;79;0;14;7;250;4_7;64
15854687;15854767;15857940;15945057;16028968;83;0;14;7;250;4_7;65
16095676;16095757;16098920;16186055;16270014;83;0;14;7;250;4_7;66
16336733;16336818;16339981;16427058;16510957;83;0;14;7;250;4_7;67
16577616;16577697;16580858;16668050;16752061;83;0;14;7;250;4_7;68
16818775;16818857;16822025;16913061;16996990;86;0;14;7;250;4_7;69
17063667;17063803;17067008;17158055;17242027;86;0;14;7;250;4_7;70
17308680;17308760;17311929;17403058;17486981;86;0;14;7;250;4_7;71
17557451;17557533;17560749;17654057;17738050;90;0;14;7;250;4_7;72
17804733;17804816;17807987;17901058;17984999;90;0;14;7;250;4_7;73
