TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
5250914;5250992;5251182;5251272;5335370;0;0;14;0;125;4_8;0
5401981;5402061;5402316;6331075;6414952;926;0;14;12;125;4_8;1
6481489;6481569;6484671;7414073;7497948;926;0;14;12;125;4_8;2
7564549;7564629;7567745;8497075;8580900;926;0;14;12;125;4_8;3
8647432;8647513;8650623;9582053;9663501;926;0;14;12;125;4_8;4
9727690;9727770;9730904;10662055;10745882;926;0;14;12;125;4_8;5
10812476;10812556;10815676;12009057;12093025;1188;0;14;12;125;4_8;6
12164307;12164385;12167557;13361061;13444935;1188;0;14;12;125;4_8;7
13511498;13511579;13514692;14708056;14791996;1188;0;14;12;125;4_8;8
14858621;14858701;14861825;16055059;16138935;1188;0;14;12;125;4_8;9
16205586;16205667;16208777;17402057;17486075;1188;0;14;12;125;4_8;10
17552768;17552855;17555985;19011059;19095075;1450;0;14;12;125;4_8;11
19161724;19161807;19164935;20620057;20704079;1450;0;14;12;125;4_8;12
20770771;20770855;20773978;22229058;22313020;1450;0;14;12;125;4_8;13
22379590;22379675;22382792;23838057;23922104;1450;0;14;12;125;4_8;14
23993179;23993257;23996436;25450061;25534014;1450;0;14;12;125;4_8;15
25600693;25600773;25603919;27321057;27405098;1713;0;14;12;125;4_8;16
27471780;27471864;27475006;29192063;29276023;1713;0;14;12;125;4_8;17
29342663;29342743;29345886;31063056;31147075;1713;0;14;12;125;4_8;18
31213741;31213824;31216961;32934059;33018014;1713;0;14;12;125;4_8;19
33084699;33084779;33087914;34805057;34889061;1713;0;14;12;125;4_8;20
34955720;34955803;34958939;36938059;37022023;1975;0;14;12;125;4_8;21
37092306;37092389;37095582;39073059;39157065;1975;0;14;12;125;4_8;22
39223820;39223909;39227043;41206058;41290025;1975;0;14;12;125;4_8;23
41356647;41356727;41359856;43339057;43423073;1975;0;14;12;125;4_8;24
43489793;43489887;43493029;45472059;45556005;1975;0;14;12;125;4_8;25
45622724;45622809;45625944;47867057;47951069;2237;0;14;12;125;4_8;26
48017739;48017824;48020968;50262059;50346028;2237;0;14;12;125;4_8;27
50412712;50412792;50415934;52657059;52741092;2237;0;14;12;125;4_8;28
52807779;52807863;52811007;55052058;55136024;2237;0;14;12;125;4_8;29
55206263;55206342;55209534;57451058;57535061;2237;0;14;12;125;4_8;30
57601768;57601851;57604993;60108058;60192035;2499;0;14;12;125;4_8;31
60258636;60258716;60261853;62765056;62849061;2499;0;14;12;125;4_8;32
62915777;62915874;62919023;65422057;65506019;2499;0;14;12;125;4_8;33
65572695;65572775;65575928;68079060;68163078;2499;0;14;12;125;4_8;34
68229768;68229851;68232998;70736058;70820013;2499;0;14;12;125;4_8;35
70886645;70886726;70889881;73655056;73739051;2761;0;14;12;125;4_8;36
73809369;73809452;73812653;76576060;76660026;2761;0;14;12;125;4_8;37
76726648;76726728;76729863;79495055;79579068;2761;0;14;12;125;4_8;38
79645771;79645858;79649014;82414058;82498042;2761;0;14;12;125;4_8;39
82564674;82564754;82567916;85333056;85417076;2761;0;14;12;125;4_8;40
85483787;85483882;85487031;88514058;88597991;3023;0;14;12;125;4_8;41
88664640;88664720;88667857;91697056;91781091;3023;0;14;12;125;4_8;42
91847765;91847849;91850998;94878057;94961995;3023;0;14;12;125;4_8;43
95032257;95032335;95035541;98061058;98145090;3023;0;14;12;125;4_8;44
98211817;98211906;98215054;101242057;101326008;3023;0;14;12;125;4_8;45
101392644;101392725;101395875;104685055;104769062;3285;0;14;12;125;4_8;46
104835764;104835848;104838997;108128057;108212003;3285;0;14;12;125;4_8;47
108278698;108278782;108281941;111571054;111655095;3285;0;14;12;125;4_8;48
111721790;111721883;111725037;115014057;115098041;3285;0;14;12;125;4_8;49
115164724;115164812;115167969;118457055;118541052;3285;0;14;12;125;4_8;50
118611403;118611481;118614693;122164059;122248032;3548;0;14;12;125;4_8;51
