TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
2536932;2537010;2537200;2537284;2621403;0;0;14;0;125;4_6;0
2687984;2688064;2688328;2747054;2830910;54;0;14;8;125;4_6;1
2897437;2897518;2900623;2960048;3043913;54;0;14;8;125;4_6;2
3110968;3111048;3114161;3185055;3268860;67;0;14;8;125;4_6;3
3335407;3335487;3338593;3410053;3491502;67;0;14;8;125;4_6;4
3555682;3555762;3558888;3630055;3713904;67;0;14;8;125;4_6;5
3780528;3780617;3783738;3855058;3938973;67;0;14;8;125;4_6;6
4009171;4009250;4012432;4094057;4177900;79;0;14;8;125;4_6;7
4244452;4244532;4247644;4331053;4414963;79;0;14;8;125;4_6;8
4481589;4481669;4484786;4568055;4651875;79;0;14;8;125;4_6;9
4718449;4718529;4721638;4805053;4889008;79;0;14;8;125;4_6;10
4955672;4955752;4958890;5054054;5137983;91;0;14;8;125;4_6;11
5204624;5204704;5207821;5303052;5386995;91;0;14;8;125;4_6;12
5453633;5453714;5456836;5552055;5635933;91;0;14;8;125;4_6;13
5702516;5702596;5705718;5801053;5884988;91;0;14;8;125;4_6;14
5951707;5951792;5954929;6062054;6146046;103;0;14;8;125;4_6;15
6216265;6216343;6219533;6325055;6409071;103;0;14;8;125;4_6;16
6475776;6475860;6479009;6586055;6669963;103;0;14;8;125;4_6;17
6736641;6736721;6739854;6847053;6931021;103;0;14;8;125;4_6;18
6997692;6997772;7000925;7120054;7203960;116;0;14;8;125;4_6;19
7270573;7270657;7273798;7393052;7477034;116;0;14;8;125;4_6;20
7543667;7543747;7546892;7666054;7749952;116;0;14;8;125;4_6;21
7816568;7816653;7819776;7939052;8023044;116;0;14;8;125;4_6;22
8089834;8089924;8093091;8224055;8308012;128;0;14;8;125;4_6;23
8378300;8378379;8381567;8513055;8597033;128;0;14;8;125;4_6;24
8663690;8663771;8666920;8798055;8881956;128;0;14;8;125;4_6;25
8948595;8948680;8951809;9083053;9167040;128;0;14;8;125;4_6;26
9233764;9233846;9236998;9382055;9465962;140;0;14;8;125;4_6;27
9532564;9532644;9535778;9681053;9765025;140;0;14;8;125;4_6;28
9831717;9831801;9834953;9980059;10064016;140;0;14;8;125;4_6;29
10130627;10130707;10133840;10279053;10363034;140;0;14;8;125;4_6;30
10429736;10429820;10432968;10590054;10673973;153;0;14;8;125;4_6;31
10744202;10744280;10747478;10905054;10989071;153;0;14;8;125;4_6;32
11055743;11055826;11058970;11216054;11299992;153;0;14;8;125;4_6;33
11366601;11366682;11369825;11527052;11611057;153;0;14;8;125;4_6;34
11677783;11677881;11681021;11850054;11933976;165;0;14;8;125;4_6;35
12000613;12000693;12003831;12173052;12257044;165;0;14;8;125;4_6;36
12323712;12323792;12326948;12496055;12579973;165;0;14;8;125;4_6;37
12646623;12646708;12649847;12819053;12903071;165;0;14;8;125;4_6;38
12969767;12969851;12973006;13154054;13237988;177;0;14;8;125;4_6;39
13308222;13308300;13311502;13493054;13577063;177;0;14;8;125;4_6;40
13643775;13643861;13647019;13828054;13911983;177;0;14;8;125;4_6;41
13978603;13978684;13981825;14163052;14247033;177;0;14;8;125;4_6;42
14313725;14313810;14316971;14510054;14593983;189;0;14;8;125;4_6;43
14660599;14660680;14663825;14857052;14941031;189;0;14;8;125;4_6;44
15007733;15007816;15010970;15204055;15287992;189;0;14;8;125;4_6;45
15354647;15354728;15357875;15551057;15635057;189;0;14;8;125;4_6;46
15701770;15701854;15705017;15910054;15993979;202;0;14;8;125;4_6;47
16064250;16064328;16067554;16273054;16357021;202;0;14;8;125;4_6;48
16423696;16423781;16426935;16632054;16716021;202;0;14;8;125;4_6;49
16782656;16782736;16785890;16991052;17075106;202;0;14;8;125;4_6;50
17141801;17141891;17145046;17362054;17445986;214;0;14;8;125;4_6;51
17512676;17512757;17515918;17733052;17817046;214;0;14;8;125;4_6;52
17883725;17883810;17886965;18104055;18187988;214;0;14;8;125;4_6;53
18254632;18254712;18257878;18475053;18559044;214;0;14;8;125;4_6;54
18629334;18629413;18632628;18862057;18945973;226;0;14;8;125;4_6;55
19012605;19012685;19015836;19247053;19331059;226;0;14;8;125;4_6;56
19397776;19397860;19401021;19632055;19716019;226;0;14;8;125;4_6;57
19782652;19782733;19785896;20017053;20101046;226;0;14;8;125;4_6;58
20167743;20167826;20170987;20414055;20497962;239;0;14;8;125;4_6;59
20564587;20564672;20567823;20811053;20895083;239;0;14;8;125;4_6;60
20961785;20961876;20965031;21208055;21291988;239;0;14;8;125;4_6;61
21358592;21358672;21361831;21605053;21689061;239;0;14;8;125;4_6;62
21759237;21759315;21762540;22016061;22100036;251;0;14;8;125;4_6;63
22166663;22166743;22169908;22425052;22509031;251;0;14;8;125;4_6;64
22575736;22575820;22578987;22834054;22917976;251;0;14;8;125;4_6;65
22984643;22984723;22987886;23243052;23327033;251;0;14;8;125;4_6;66
23393710;23393790;23396960;23664055;23747976;263;0;14;8;125;4_6;67
23814682;23814762;23817931;24085053;24169033;263;0;14;8;125;4_6;68
24235767;24235851;24239017;24506055;24589988;263;0;14;8;125;4_6;69
24660119;24660197;24663415;24929055;25013025;263;0;14;8;125;4_6;70
25079792;25079890;25083048;25362055;25445976;275;0;14;8;125;4_6;71
25512666;25512747;25515914;25795053;25879021;275;0;14;8;125;4_6;72
25945681;25945761;25948944;26228055;26311990;275;0;14;8;125;4_6;73
26378639;26378723;26381894;26661053;26745033;275;0;14;8;125;4_6;74
26811738;26811822;26814996;27106055;27189983;288;0;14;8;125;4_6;75
27256616;27256699;27259856;27551053;27635044;288;0;14;8;125;4_6;76
27701736;27701820;27704996;27996055;28080033;288;0;14;8;125;4_6;77
28150263;28150341;28153562;28443055;28527042;288;0;14;8;125;4_6;78
28593790;28593883;28597061;28902054;28985992;300;0;14;8;125;4_6;79
29052655;29052735;29055906;29361052;29445044;300;0;14;8;125;4_6;80
29511737;29511820;29514990;29820055;29903981;300;0;14;8;125;4_6;81
29970621;29970701;29973882;30279053;30363044;300;0;14;8;125;4_6;82
30429765;30429853;30433031;30750054;30833973;312;0;14;8;125;4_6;83
