TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
3151929;3152007;3152198;3152281;3236385;0;0;14;0;125;4_7;0
3302990;3303071;3303334;3364052;3447911;56;0;14;8;125;4_7;1
3514445;3514525;3517633;3579046;3662906;56;0;14;8;125;4_7;2
3729510;3729591;3732707;3808053;3891858;71;0;14;8;125;4_7;3
3958403;3958483;3961591;4037051;4118519;71;0;14;8;125;4_7;4
4182731;4182814;4185938;4261053;4344869;71;0;14;8;125;4_7;5
4411458;4411538;4414655;4490051;4573927;71;0;14;8;125;4_7;6
4644113;4644191;4647370;4735055;4818869;85;0;14;8;125;4_7;7
4885423;4885504;4888621;4978051;5061956;85;0;14;8;125;4_7;8
5128638;5128718;5131834;5221053;5304854;85;0;14;8;125;4_7;9
5371403;5371483;5374628;5464051;5547995;85;0;14;8;125;4_7;10
5614716;5614801;5617938;5721053;5804946;99;0;14;8;125;4_7;11
5871608;5871689;5874821;5978051;6062019;99;0;14;8;125;4_7;12
6128765;6128849;6131974;6235053;6318954;99;0;14;8;125;4_7;13
6385581;6385670;6388784;6492051;6575988;99;0;14;8;125;4_7;14
6642696;6642781;6645909;6763052;6846993;114;0;14;8;125;4_7;15
6917289;6917367;6920558;7036053;7120131;114;0;14;8;125;4_7;16
7186855;7186945;7190084;7307053;7390999;114;0;14;8;125;4_7;17
7457623;7457703;7460831;7578051;7662024;114;0;14;8;125;4_7;18
7728694;7728775;7731923;7863053;7946963;128;0;14;8;125;4_7;19
8013575;8013660;8016797;8148051;8232032;128;0;14;8;125;4_7;20
8298703;8298783;8301925;8433053;8516950;128;0;14;8;125;4_7;21
8583584;8583674;8586805;8718051;8802029;128;0;14;8;125;4_7;22
8868739;8868822;8871970;9019053;9103081;142;0;14;8;125;4_7;23
9173427;9173505;9176705;9322053;9406029;142;0;14;8;125;4_7;24
9472695;9472776;9475927;9623053;9706960;142;0;14;8;125;4_7;25
9773602;9773687;9776817;9924051;10008040;142;0;14;8;125;4_7;26
10074790;10074883;10078025;10239053;10322974;157;0;14;8;125;4_7;27
10389640;10389721;10392854;10554051;10638031;157;0;14;8;125;4_7;28
10704725;10704808;10707954;10869057;10952995;157;0;14;8;125;4_7;29
11019643;11019723;11022852;11184051;11268053;157;0;14;8;125;4_7;30
11334752;11334835;11337981;11513053;11596972;171;0;14;8;125;4_7;31
11667316;11667394;11670603;11846053;11930057;171;0;14;8;125;4_7;32
11996751;11996835;11999979;12175053;12258972;171;0;14;8;125;4_7;33
12325647;12325727;12328880;12504051;12588042;171;0;14;8;125;4_7;34
12654755;12654837;12657988;12847057;12930979;185;0;14;8;125;4_7;35
12997627;12997708;13000845;13190051;13274042;185;0;14;8;125;4_7;36
13340733;13340817;13343966;13533053;13616986;185;0;14;8;125;4_7;37
13683685;13683770;13686918;13876051;13960059;185;0;14;8;125;4_7;38
14026739;14026822;14029970;14233053;14317013;200;0;14;8;125;4_7;39
14387381;14387459;14390665;14592053;14676048;200;0;14;8;125;4_7;40
14742767;14742849;14746000;14949053;15032984;200;0;14;8;125;4_7;41
15099661;15099741;15102890;15306051;15390019;200;0;14;8;125;4_7;42
15456703;15456784;15459944;15677053;15760974;214;0;14;8;125;4_7;43
15827635;15827716;15830854;16048051;16132098;214;0;14;8;125;4_7;44
16198837;16198927;16202078;16419053;16503001;214;0;14;8;125;4_7;45
16569665;16569745;16572914;16790051;16874061;214;0;14;8;125;4_7;46
16944464;16944543;16947753;17179055;17262981;228;0;14;8;125;4_7;47
17329648;17329729;17332886;17566051;17650055;228;0;14;8;125;4_7;48
17716741;17716828;17719988;17953053;18037008;228;0;14;8;125;4_7;49
18103665;18103746;18106900;18340051;18424029;228;0;14;8;125;4_7;50
18490772;18490856;18494019;18741053;18824990;243;0;14;8;125;4_7;51
18891686;18891766;18894921;19142051;19226042;243;0;14;8;125;4_7;52
19292748;19292833;19295990;19543053;19626981;243;0;14;8;125;4_7;53
19693596;19693676;19696829;19944051;20028053;243;0;14;8;125;4_7;54
20098552;20098630;20101851;20361055;20444969;257;0;14;8;125;4_7;55
20511652;20511732;20514894;20776051;20860065;257;0;14;8;125;4_7;56
20926765;20926849;20930007;21191061;21275021;257;0;14;8;125;4_7;57
21341675;21341756;21344918;21606051;21690029;257;0;14;8;125;4_7;58
21756737;21756820;21759981;22035053;22119013;271;0;14;8;125;4_7;59
22185639;22185723;22188880;22464051;22548061;271;0;14;8;125;4_7;60
22614769;22614852;22618019;22893053;22976977;271;0;14;8;125;4_7;61
23043613;23043693;23046850;23322051;23406057;271;0;14;8;125;4_7;62
23476359;23476442;23479666;23767055;23850974;286;0;14;8;125;4_7;63
23917646;23917726;23920892;24210050;24294036;286;0;14;8;125;4_7;64
24360696;24360776;24363944;24653053;24736990;286;0;14;8;125;4_7;65
24803640;24803721;24806888;25096051;25180059;286;0;14;8;125;4_7;66
25246725;25246808;25249981;25553067;25637013;300;0;14;8;125;4_7;67
25703704;25703784;25706956;26010069;26094153;300;0;14;8;125;4_7;68
26160853;26160943;26164112;26467071;26551010;300;0;14;8;125;4_7;69
26621220;26621299;26624516;26928073;27012063;300;0;14;8;125;4_7;70
27078765;27078853;27082023;27401053;27485010;314;0;14;8;125;4_7;71
27551685;27551765;27554936;27874051;27958032;314;0;14;8;125;4_7;72
28024719;28024801;28027972;28347053;28430990;314;0;14;8;125;4_7;73
28497684;28497764;28500927;28820051;28904032;314;0;14;8;125;4_7;74
28970743;28970826;28974000;29307053;29390984;329;0;14;8;125;4_7;75
29457607;29457695;29460856;29794051;29878032;329;0;14;8;125;4_7;76
29944721;29944806;29947981;30281053;30364984;329;0;14;8;125;4_7;77
30435269;30435347;30438567;30770053;30854032;329;0;14;8;125;4_7;78
30920789;30920881;30924050;31271053;31354960;343;0;14;8;125;4_7;79
31421679;31421759;31424938;31772051;31856031;343;0;14;8;125;4_7;80
31922725;31922808;31925983;32273053;32356981;343;0;14;8;125;4_7;81
32423653;32423733;32426909;32774051;32858040;343;0;14;8;125;4_7;82
32924771;32924856;32928035;33289053;33372981;357;0;14;8;125;4_7;83
33439619;33439704;33442880;33804051;33888057;357;0;14;8;125;4_7;84
33954754;33954837;33958017;34319057;34402988;357;0;14;8;125;4_7;85
34477816;34477903;34481128;34842053;34926061;357;0;14;8;125;4_7;86
34992738;34992822;34996002;35371053;35454974;372;0;14;8;125;4_7;87
35521614;35521694;35524871;35900055;35984042;372;0;14;8;125;4_7;88
36050705;36050786;36053972;36429057;36513010;372;0;14;8;125;4_7;89
36579703;36579783;36582979;36958051;37042030;372;0;14;8;125;4_7;90
37108778;37108872;37112048;37503053;37586984;386;0;14;8;125;4_7;91
37653639;37653719;37656894;38048051;38132051;386;0;14;8;125;4_7;92
38204497;38204576;38207815;38597055;38680983;386;0;14;8;125;4_7;93
38747644;38747728;38750904;39142051;39226055;386;0;14;8;125;4_7;94
39292772;39292857;39296046;39701053;39784990;400;0;14;8;125;4_7;95
39851642;39851722;39854904;40260055;40344057;400;0;14;8;125;4_7;96
40410755;40410837;40414021;40819053;40902974;400;0;14;8;125;4_7;97
40969610;40969690;40972874;41378051;41462032;400;0;14;8;125;4_7;98
41528731;41528814;41531994;41951053;42034990;415;0;14;8;125;4_7;99
42101694;42101774;42104962;42524051;42608065;415;0;14;8;125;4_7;100
42678503;42678581;42681834;43099055;43183021;415;0;14;8;125;4_7;101
43249671;43249751;43252936;43672051;43756061;415;0;14;8;125;4_7;102
43822751;43822832;43826025;44259053;44343009;429;0;14;8;125;4_7;103
44409685;44409765;44412950;44846051;44930075;429;0;14;8;125;4_7;104
44996807;44996902;45000084;45433053;45516986;429;0;14;8;125;4_7;105
45583676;45583757;45586948;46020051;46104098;429;0;14;8;125;4_7;106
46170819;46170907;46174112;46621053;46705017;443;0;14;8;125;4_7;107
46775370;46775449;46778684;47224053;47308065;443;0;14;8;125;4_7;108
47374746;47374830;47378015;47825053;47908994;443;0;14;8;125;4_7;109
47975652;47975732;47978921;48426051;48510069;443;0;14;8;125;4_7;110
48576747;48576830;48580023;49041053;49125038;458;0;14;8;125;4_7;111
49191730;49191814;49195019;49656051;49740045;458;0;14;8;125;4_7;112
49806773;49806858;49810054;50271053;50355032;458;0;14;8;125;4_7;113
50421676;50421757;50424947;50886049;50970058;458;0;14;8;125;4_7;114
51036759;51036843;51040034;51517051;51601018;472;0;14;8;125;4_7;115
51671374;51671452;51674721;52150051;52234058;472;0;14;8;125;4_7;116
52300776;52300869;52304060;52781051;52865020;472;0;14;8;125;4_7;117
52931667;52931747;52934945;53412054;53496076;472;0;14;8;125;4_7;118
53562774;53562869;53566060;54057051;54141018;486;0;14;8;125;4_7;119
54207655;54207735;54210926;54702049;54786054;486;0;14;8;125;4_7;120
54852744;54852827;54856030;55347052;55431007;486;0;14;8;125;4_7;121
55497655;55497735;55500926;55992050;56076146;486;0;14;8;125;4_7;122
56149799;56149886;56153239;56657054;56740994;501;0;14;8;125;4_7;123
56807680;56807760;56810961;57316050;57400064;501;0;14;8;125;4_7;124
57466742;57466825;57470024;57975052;58058989;501;0;14;8;125;4_7;125
58125651;58125735;58128926;58634050;58718066;501;0;14;8;125;4_7;126
58784815;58784904;58788094;59307051;59390998;515;0;14;8;125;4_7;127
59457644;59457724;59460935;59980049;60064113;515;0;14;8;125;4_7;128
60130823;60130913;60134113;60653056;60737003;515;0;14;8;125;4_7;129
60803659;60803739;60806943;61326049;61410062;515;0;14;8;125;4_7;130
61480490;61480568;61483822;62015053;62099078;529;0;14;8;125;4_7;131
62165694;62165775;62168978;62702049;62786064;529;0;14;8;125;4_7;132
62852733;62852817;62856020;63389051;63473022;529;0;14;8;125;4_7;133
63539690;63539770;63542976;64076049;64160056;529;0;14;8;125;4_7;134
64226791;64226886;64230094;64777051;64861008;544;0;14;8;125;4_7;135
64927677;64927757;64930965;65478049;65562058;544;0;14;8;125;4_7;136
65628750;65628835;65632049;66179051;66262996;544;0;14;8;125;4_7;137
66333363;66333442;66336696;66882051;66966060;544;0;14;8;125;4_7;138
67032789;67032882;67036087;67599051;67683018;558;0;14;8;125;4_7;139
67749660;67749740;67752949;68316054;68400068;558;0;14;8;125;4_7;140
68466756;68466841;68470047;69033052;69117032;558;0;14;8;125;4_7;141
69183665;69183745;69186961;69750050;69834068;558;0;14;8;125;4_7;142
69900795;69900886;69904087;70481051;70565013;572;0;14;8;125;4_7;143
70631654;70631735;70634943;71212049;71296076;572;0;14;8;125;4_7;144
71362787;71362880;71366079;71943056;72027022;572;0;14;8;125;4_7;145
72097388;72097467;72100725;72676051;72760062;572;0;14;8;125;4_7;146
72826757;72826841;72830052;73421051;73505011;587;0;14;8;125;4_7;147
73571641;73571725;73574952;74166049;74250062;587;0;14;8;125;4_7;148
74316749;74316831;74320045;74911051;74995018;587;0;14;8;125;4_7;149
75061664;75061745;75065008;75656049;75740045;587;0;14;8;125;4_7;150
75806788;75806880;75810085;76415051;76499008;601;0;14;8;125;4_7;151
76565683;76565764;76568978;77174049;77258064;601;0;14;8;125;4_7;152
77324759;77324843;77328060;77933051;78016989;601;0;14;8;125;4_7;153
78087419;78087498;78090759;78694052;78778058;601;0;14;8;125;4_7;154
78844729;78844813;78848030;79467051;79551013;615;0;14;8;125;4_7;155
79617653;79617733;79620952;80240054;80324058;615;0;14;8;125;4_7;156
80390757;80390841;80394058;81013052;81097018;615;0;14;8;125;4_7;157
81163646;81163726;81166939;81786050;81870056;615;0;14;8;125;4_7;158
