TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
7919911;7919989;7920181;7920269;8004373;0;0;14;0;125;4_8;0
8070990;8071070;8071334;8192051;8275926;116;0;14;9;125;4_8;1
8342478;8342558;8345666;8467047;8550931;116;0;14;9;125;4_8;2
8617543;8617623;8620739;8742050;8825896;116;0;14;9;125;4_8;3
8892449;8892530;8895638;9049051;9130527;149;0;14;9;125;4_8;4
9194735;9194818;9197950;9351054;9434894;149;0;14;9;125;4_8;5
9501498;9501579;9504697;9658051;9741964;149;0;14;9;125;4_8;6
9812360;9812438;9815617;9967056;10050906;149;0;14;9;125;4_8;7
10117485;10117565;10120676;10274046;10357964;149;0;14;9;125;4_8;8
10424603;10424683;10427811;10613053;10696918;182;0;14;9;125;4_8;9
10763504;10763584;10766695;10952051;11036063;182;0;14;9;125;4_8;10
11102874;11102954;11106082;11291053;11374973;182;0;14;9;125;4_8;11
11441668;11441748;11444876;11630051;11714047;182;0;14;9;125;4_8;12
11780738;11780820;11783948;12003053;12087008;215;0;14;9;125;4_8;13
12153630;12153710;12156829;12376051;12460044;215;0;14;9;125;4_8;14
12530474;12530557;12533741;12751055;12834974;215;0;14;9;125;4_8;15
12901645;12901725;12904858;13124051;13208073;215;0;14;9;125;4_8;16
13274787;13274876;13278009;13497052;13581026;215;0;14;9;125;4_8;17
13647666;13647746;13650882;13902051;13986038;247;0;14;9;125;4_8;18
14052732;14052816;14055956;14307053;14390974;247;0;14;9;125;4_8;19
14457635;14457715;14460844;14712051;14796077;247;0;14;9;125;4_8;20
14862763;14862848;14865981;15117053;15200977;247;0;14;9;125;4_8;21
15267598;15267679;15270813;15554051;15638077;280;0;14;9;125;4_8;22
15708503;15708581;15711787;15993055;16077040;280;0;14;9;125;4_8;23
16143691;16143772;16146911;16430051;16514045;280;0;14;9;125;4_8;24
16580759;NaN;16583994;16867054;16950999;280;0;14;9;125;4_8;25
17017670;17017755;17020894;17304046;17388075;280;0;14;9;125;4_8;26
17454753;17454837;17457983;17775053;17858954;313;0;14;9;125;4_8;27
17925665;17925745;17928888;18246051;18330053;313;0;14;9;125;4_8;28
18396776;18396874;18400013;18717053;18800979;313;0;14;9;125;4_8;29
18871286;18871365;18874554;19192053;19276026;313;0;14;9;125;4_8;30
19342720;19342804;19345948;19695053;19778981;346;0;14;9;125;4_8;31
19845617;19845698;19848840;20198051;20282017;346;0;14;9;125;4_8;32
20348728;20348812;20351964;20701053;20784986;346;0;14;9;125;4_8;33
20851620;20851700;20854840;21204056;21288040;346;0;14;9;125;4_8;34
21354734;21354816;21357963;21707048;21790972;346;0;14;9;125;4_8;35
21857629;21857709;21860849;22244051;22328049;378;0;14;9;125;4_8;36
22394742;22394830;22397981;22781053;22864999;378;0;14;9;125;4_8;37
22935337;22935416;22938618;23322053;23406036;378;0;14;9;125;4_8;38
23472714;23472798;23475954;23859053;23942995;378;0;14;9;125;4_8;39
24009666;24009746;24012894;24428051;24512045;411;0;14;9;125;4_8;40
